query_id,router_dequeue_0,router_dequeue_1,router_enqueue_0,router_enqueue_1,router_recv_result_0,router_recv_result_1,worker_done_0,worker_done_1,worker_start_0,worker_start_1
171,1607205844382005,1607206028535575,1607205837205141,1607206027248725,1607205846265162,1607206029807244,1607205845642077,1607206029802231,1607205844395838,1607206028550124
172,1607205844382007,1607206029833199,1607205837216904,1607206028558153,1607205846265178,1607206031106679,1607205845642077,1607206031103738,1607205844395839,1607206029855601
173,1607205844382009,1607206031138264,1607205837228871,1607206029855722,1607205846265196,1607206032391386,1607205845642078,1607206032383830,1607205844395841,1607206031157657
174,1607205844382010,1607206032423223,1607205837240476,1607206031162561,1607205846265214,1607206033721391,1607205845642079,1607206033716728,1607205844395843,1607206032437569
175,1607205844382014,1607206033751849,1607205837252357,1607206032446358,1607205846265230,1607206035025538,1607205845642080,1607206035022807,1607205844395845,1607206033766374
176,1607205844382015,1607206035053795,1607205837264611,1607206033776159,1607205846265246,1607206036305292,1607205845642080,1607206036300648,1607205844395847,1607206035068174
177,1607205844382017,1607206036331983,1607205837276257,1607206035086297,1607205846265280,1607206037599982,1607205845642081,1607206037595375,1607205844395849,1607206036347093
178,1607205844382019,1607206037627382,1607205837288143,1607206036355080,1607205846265297,1607206038898053,1607205845642082,1607206038895334,1607205844395851,1607206037641442
179,1607205844382022,1607206038926306,1607205837300191,1607206037651783,1607205846265315,1607206040175355,1607205845642083,1607206040172065,1607205844395852,1607206038940724
180,1607205844382023,1607206040203348,1607205837311778,1607206038953741,1607205846265331,1607206041449407,1607205845642084,1607206041446464,1607205844395855,1607206040217662
181,1607205844382025,1607206041471033,1607205837323685,1607206040229116,1607205846265352,1607206042720954,1607205845642084,1607206042717956,1607205844395856,1607206041485569
182,1607205846264603,1607206042748469,1607205837335573,1607206041493207,1607205848122497,1607206043995444,1607205847523922,1607206043992571,1607205846278513,1607206042764983
183,1607205846264610,1607206044021313,1607205837347668,1607206042771304,1607205848130665,1607206045272226,1607205847523928,1607206045269554,1607205846278519,1607206044035764
184,1607205846264613,1607206045293810,1607205837359182,1607206044043103,1607205848130685,1607206046540424,1607205847523929,1607206046537710,1607205846278521,1607206045308207
185,1607205846264614,1607206046566740,1607205837372522,1607206045320353,1607205848130701,1607206047816893,1607205847523930,1607206047814186,1607205846278523,1607206046581016
186,1607205846264616,1607206047843432,1607205837382874,1607206046589929,1607205848130729,1607206049091544,1607205847523931,1607206049088870,1607205846278525,1607206047857924
187,1607205846264618,1607206049113788,1607205837394793,1607206047866194,1607205848130748,1607206050357129,1607205847523932,1607206050352342,1607205846278528,1607206049128058
188,1607205846264620,1607206050385111,1607205837406556,1607206049139120,1607205848130765,1607206051641386,1607205847523933,1607206051638587,1607205846278530,1607206050399274
189,1607205846264623,1607206051667542,1607205837418527,1607206050408600,1607205848130781,1607206052910089,1607205847523934,1607206052905754,1607205846278532,1607206051682156
190,1607205846264624,1607206052931990,1607205837430777,1607206051690295,1607205848130798,1607206054223814,1607205847523935,1607206054221128,1607205846278534,1607206052953474
191,1607205846264627,1607206054250900,1607205837442372,1607206052954385,1607205848130811,1607206055501553,1607205847523936,1607206055498771,1607205846278536,1607206054265231
192,1607205846264629,1607206055528849,1607205837454300,1607206054273544,1607205848130823,1607206056772982,1607205847523937,1607206056770257,1607205846278538,1607206055543095
193,1607205846264632,1607206056795810,1607205837466028,1607206055551929,1607205848130836,1607206058047424,1607205847523937,1607206058044650,1607205846278541,1607206056811013
194,1607205846264634,1607206058073303,1607205837478133,1607206056824224,1607205848130853,1607206059317182,1607205847523938,1607206059314561,1607205846278542,1607206058089661
195,1607205846264637,1607206059343963,1607205837489792,1607206058098353,1607205848130871,1607206060587682,1607205847523939,1607206060585189,1607205846278545,1607206059359996
196,1607205846264638,1607206060614789,1607205837501834,1607206059365741,1607205848130888,1607206061861956,1607205847523940,1607206061859215,1607205846278546,1607206060630042
197,1607205846264641,1607206061892086,1607205837514016,1607206060638244,1607205848130905,1607206063132197,1607205847523940,1607206063129548,1607205846278548,1607206061906124
198,1607205846264643,1607206063162011,1607205837525863,1607206061914385,1607205848130922,1607206064410441,1607205847523941,1607206064404623,1607205846278551,1607206063176261
199,1607205846264645,1607206064447096,1607205837537623,1607206063184648,1607205848130941,1607206065713033,1607205847523943,1607206065710280,1607205846278553,1607206064461684
200,1607205846264647,1607206065739258,1607205837549498,1607206064487458,1607205848130957,1607206066977499,1607205847523943,1607206066974816,1607205846278555,1607206065753696
201,1607205846264649,1607206067000029,1607205837561434,1607206065775611,1607205848130974,1607206068245895,1607205847523944,1607206068243176,1607205846278556,1607206067013971
202,1607205846264652,1607206068273147,1607205837573277,1607206067025024,1607205848130990,1607206069517952,1607205847523945,1607206069515253,1607205846278558,1607206068287317
203,1607205846264654,1607206069544463,1607205837585081,1607206068304032,1607205848131009,1607206070781457,1607205847523946,1607206070776523,1607205846278560,1607206069558631
