query_id,router_enqueue_0->router_dequeue_0,router_dequeue_0->worker_start_0,worker_start_0->worker_done_0,worker_done_0->router_recv_result_0,router_recv_result_0->router_enqueue_1,router_enqueue_1->router_dequeue_1,router_dequeue_1->worker_start_1,worker_start_1->worker_done_1,worker_done_1->router_recv_result_1
251,72331.608,1.692,1235.911,21.911,11.896,385.291,5.901,1220.71,28.848
252,72319.898,1.688,1235.911,21.954,13.948,383.2,5.898,1220.71,28.887
253,72307.881,1.684,1235.911,21.993,14.09,383.023,5.894,1220.71,28.922
254,73555.48,1.745,1236.67,22.659,15.575,375.976,6.02,1209.147,12.2
255,73543.829,1.735,1236.671,25.816,13.706,374.699,6.01,1209.146,27.506
256,73532.215,1.732,1236.67,25.858,13.908,374.46,6.006,1209.145,27.535
257,73520.42,1.729,1236.67,25.896,14.192,374.141,6.003,1209.145,27.561
258,74772.486,4.162,1293.352,21.574,13.576,298.419,6.161,1209.929,12.802
259,74760.764,4.153,1293.353,24.62,12.156,296.801,6.153,1209.928,21.764
26,2585.3,2.065,1353.776,21.332,14.796,1228.229,11.481,1243.874,24.576
260,74749.002,4.148,1293.353,24.664,12.546,296.37,6.151,1209.927,21.805
261,74737.057,4.144,1293.352,24.702,14.144,294.737,6.149,1209.927,21.838
262,76047.19,1.769,1256.358,21.516,13.149,253.983,6.201,1209.473,15.054
263,76035.507,1.759,1256.359,24.646,11.796,252.218,6.19,1209.472,35.885
264,76023.528,1.755,1256.359,24.686,13.414,250.565,6.185,1209.472,35.92
265,76011.648,1.752,1256.358,24.729,13.546,250.393,6.183,1209.471,35.948
266,77282.608,1.725,1266.868,20.987,13.357,212.412,5.763,1211.413,18.415
267,77270.704,1.714,1266.871,24.071,13.185,209.516,5.746,1211.412,30.304
268,77258.806,1.711,1266.87,24.114,13.275,209.387,5.743,1211.411,30.334
269,77246.977,1.707,1266.87,24.153,13.642,208.985,5.74,1211.411,30.368
27,2573.766,2.056,1353.776,24.453,17.268,1222.644,11.476,1243.871,39.604
270,78527.637,1.756,1259.527,19.355,15.564,173.972,5.689,1215.168,20.798
271,78515.568,1.746,1259.528,22.473,13.793,172.634,5.679,1215.169,40.342
272,78503.931,1.742,1259.528,22.523,14.115,172.265,5.677,1215.168,40.373
273,78491.99,1.738,1259.528,22.559,15.636,170.711,5.674,1215.168,40.4
274,79763.819,1.754,1223.449,22.916,19.236,180.253,6.671,1223.101,18.978
275,79751.395,1.745,1223.45,26.03,17.907,178.476,6.665,1223.098,33.279
276,79740.076,1.741,1223.45,26.076,19.049,177.292,6.662,1223.097,33.307
277,79727.914,1.738,1223.449,26.112,19.361,176.947,6.661,1223.096,33.33
278,80967.414,1.655,1221.383,23.324,15.431,197.641,6.383,1225.886,14.034
279,80955.432,1.646,1221.384,26.425,13.619,196.36,6.376,1225.884,23.69
28,2561.898,2.052,1353.776,24.492,17.414,1222.462,11.474,1243.87,39.63
280,80943.498,1.641,1221.384,26.471,15.214,194.723,6.372,1225.884,23.709
281,80931.421,1.637,1221.383,26.513,15.353,194.545,6.371,1225.883,23.723
282,82168.977,1.712,1248.456,18.941,12.731,184.131,5.711,1215.3,14.318
283,82157.01,1.702,1248.459,21.975,13.448,180.384,5.705,1215.304,29.428
284,82145.382,1.698,1248.46,22.014,14.846,178.947,5.704,1215.304,29.455
285,82133.285,1.694,1248.459,22.059,15.141,178.61,5.702,1215.304,29.478
286,83393.481,1.775,1234.52,18.885,14.273,174.829,6.583,1229.933,15.161
287,83381.525,1.766,1234.52,21.952,12.65,173.393,6.576,1229.932,30.19
288,83369.929,1.763,1234.519,21.994,12.79,173.214,6.575,1229.93,30.218
289,83358.005,1.76,1234.519,22.029,14.643,171.329,6.572,1229.93,30.242
29,2550.158,2.048,1353.782,24.518,20.404,1219.442,11.474,1243.872,39.65
